City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
447,coos bay,1,US,1525756500,81,43.37,-124.22,53.6,2.71
448,massakory,0,TD,1525758434,55,13.0,15.73,84.08,2.82
449,kamaishi,75,JP,1525755600,58,39.28,141.86,57.2,10.29
450,xiongyue,0,CN,1525758434,18,40.18,122.12,74.0,12.88
451,la dorada,92,CO,1525758434,100,5.45,-74.66,65.18,2.15
452,banda aceh,24,ID,1525758434,100,5.56,95.32,81.92,2.26
453,kaffrine,0,SN,1525758435,45,14.1,-15.55,71.48,11.1
454,gore,92,ET,1525758435,100,8.15,35.53,63.47,3.83
455,novobirilyussy,92,RU,1525758435,100,56.95,90.69,38.18,7.74
456,nipawin,1,CA,1525755780,48,53.36,-104.02,41.0,9.17
457,zatoka,75,PL,1525757400,66,50.04,20.52,55.4,9.17
458,vista hermosa,68,MX,1525758435,67,17.8,-97.76,64.1,2.26
459,washington,75,US,1525756500,67,38.9,-77.04,64.4,6.93
460,hay river,75,CA,1525755600,40,60.82,-115.79,53.6,12.75
461,sayyan,0,YE,1525758436,19,15.17,44.32,73.73,1.7
462,gerash,0,IR,1525755600,21,27.67,54.14,89.6,4.7
463,gamba,0,CN,1525758436,87,28.28,88.52,35.03,0.36
464,christchurch,0,NZ,1525757400,36,-43.53,172.64,64.4,9.17
